Bus No.,Source,Destination
534Cluster,Anand Vihar ISBT (Viveka Nand ISBT),Mehrauli Terminal
534A,Anand Vihar ISBT (Viveka Nand ISBT),IGI Airport TerminalII
536,R.K. Puram Sector 1,Chhatarpur Extn.
539,Mehrauli Terminal,Nangloi
540,Kendriya Terminal,Tara Apartment
540ACLCluster,Safdarjung Terminal,Tara Apartment
540CLCluster,Kendriya Terminal,Tara Apartment
540STLCluster,Okhla Depot IV CWS II,Tara Apartment
542,New Seemapuri,Hauz Khas Terminal
543,Anand Vihar ISBT (Viveka Nand ISBT),Safdarjung Terminal
543 Extn.,Anand Vihar ISBT (Viveka Nand ISBT),Greater Kailash Part-II M-Block Market
543A,Anand Vihar ISBT (Viveka Nand ISBT),Kapashera Border
543ACluster,Anand Vihar ISBT (Viveka Nand ISBT),Kapashera Border
543B,Anand Vihar ISBT (Viveka Nand ISBT),IGI Airport TerminalIII
543STLCluster,Anand Vihar ISBT (Viveka Nand ISBT),Kushak Nallah Depot
544,R.K. Puram Sector 1,Badarpur Border
544A,R.K. Puram Sector 1,Nehru Place Terminal
545,Bhatti Mines,Uttam Nagar Terminal
548,Minto Road Terminal,Tughlakabad Village
548CLCluster,Minto Road Terminal,Sangam Vihar
548ExtCluster,Minto Road Terminal,Okhla Depot IV CWS II
558,Bhatti Mines,Karampura Terminal
567,Sarai Kale Khan ISBT,Kamruddin Nagar
567A,Nehru Place Terminal,Mundka Village
568,Safdarjung Terminal,Mangol Puri Q-Block
568A,Nehru Place Terminal,Mangol Puri Q-Block
569,Safdarjung Terminal,Sultan Puri D-Block
569 Extn.,Safdarjung Terminal,Inder Enclave
569A,Safdarjung Terminal,Prem Nagar Mishra Chowk
569B,Safdarjung Terminal,Inder Enclave
569C,Safdarjung Terminal,Inder Enclave
578,Safdarjung Terminal,Najafgarh
578STLCluster,Kapashera Border,Kair Depot
580,Kendriya Terminal,Ambedkar Nagar Sector 5
581,Kendriya Terminal,Hamdard Nagar
588,J.L.N. Stadium (C.G.O. Complex),Uttam Nagar Terminal
588Cluster,J.L.N. Stadium (Sunhari Pullah Nallah Parking),C.G.O. Complex
590,Shivaji Stadium,Chhatarpur Pahari (Syndicate Bank)
601,R.K. Puram Sector 1,Rohini Sector 16
602,B.M.D. Chowk,Vasant Kunj C-9
604,New Delhi Railway Station Gate 2,Chhatarpur Metro Station
605,Mori Gate Terminal,Vasant Kunj C-9
610,Wazirpur Depot,R.K. Puram Sector 1
610A,Anand Parbat,R.K. Puram Sector 1
611,Mayur Vihar Ph-III,Dhaula Kuan
611Cluster,Mayur Vihar Phase III Terminal / Paper Market,ARSD College (Dhaula Kuan)
611A,Mayur Vihar Ph-II,Subhash Nagar Terminal
611BCluster,Mayur Vihar Phase III Terminal / Paper Market,R.K. Puram Sector 1
615,Minto Road Terminal,Poorvanchal Hostel
615A,Mithapur,Poorvanchal Hostel
620,Shivaji Stadium,Hauz Khas Terminal
621,Minto Road Terminal,Poorvanchal Hostel
622,New Delhi Railway Station Gate 2,Krishna Nagar
623,Shahadra Terminal,C.P.W.D. Colony Vasant Vihar
623Cluster,Shahadra Terminal,Shahdara (Shyam Lal College)
623A,Anand Vihar ISBT (Viveka Nand ISBT),C.P.W.D. Colony Vasant Vihar
623B,Shahadra Terminal,Vasant Kunj C-9
623EXTCluster,Dilshad Garden Depot (New Seemapuri),C.P.W.D. Colony Vasant Vihar
624A,Munirka,Anand Vihar ISBT (Viveka Nand ISBT)
624ACLCluster,Munirka,Anand Vihar ISBT (Viveka Nand ISBT)
624ALinkSTLCluster,Munirka,J.L.N. Stadium (Sunhari Pullah Nallah Parking)
624BLnkSTLCluster,Anand Vihar ISBT (Viveka Nand ISBT),J.L.N. Stadium (Sunhari Pullah Nallah Parking)
629,Mehrauli Terminal,Khyala JJ Colony
630,Kendriya Terminal,Nanakpura Community Center
631,R.K. Puram Sector 1,Haider Pur Village
632,Mori Gate Terminal,Nanakpura Community Center
680,Kendriya Terminal,Ambedkar Nagar Sector 4 (Virat Cinema)
680 Extn.,Hari Nagar Clock Tower,Hamdard Nagar
701,Narela Terminal,Najafgarh
701A,Singhu Border,Qutubgarh Border
704,Vivek Vihar,Janak Puri B-1
706,Mori Gate Terminal,Rajokari Harijan Basti
707,Narela Terminal,Najafgarh Terminal
708,Narela Terminal,Najafgarh
708A,Lampur Border,Peera Garhi
711,Uttam Nagar Terminal,Sarai Kale Khan ISBT
711Cluster,Uttam Nagar Terminal,Sarai Kale Khan ISBT
711A,Uttam Nagar Terminal,Sarai Kale Khan ISBT
714,Badarpur Border,Rajokari Harijan Basti
715,Madhu Vihar,Mehrauli Terminal
716,Shivaji Stadium,Dhool Siras
717 (Down),Badarpur Border,Shahbad Mohd. Pur
717 (Up),Badarpur Border,Shahbad Mohd. Pur
717A (Down),Badarpur Border,Kapashera Border
717A (Up),Badarpur Border,Kapashera Border
717ACluster,Badarpur Border,Kapashera Border
717B,Badarpur Border,IGI Airport TerminalII
718,Uttam Nagar Terminal,Kapashera Border
719 (Down),J.L.N. Stadium (C.G.O. Complex),Pandwala Village
719 (Up),J.L.N. Stadium (C.G.O. Complex),Pandwala Village
720,Shahadra Terminal,Janak Puri B-1
721,ISBT / Kashmiri Gate,Palam Village / Mangla Puri
721Cluster,ISBT / Kashmiri Gate,Mangla Puri Terminal
722 (Down),Ambedkar Stadium Terminal,Badu Sarai
724,Uttam Nagar Terminal,Nehru Place Terminal
724Cluster,Uttam Nagar Terminal,Nehru Place Terminal
724A,Uttam Nagar Terminal,Badarpur Border
724B,Uttam Nagar Terminal,Badarpur Border
724C,Uttam Nagar Terminal,Kalka Ji DDA Flats
724EXTCluster,Kair Depot,Nehru Place Terminal
725,Mehrauli Terminal,Maya Puri Chowk
726,ISBT / Kashmiri Gate,Janak Puri D-Block
727,J.L.N. Stadium (C.G.O. Complex),Dwarka More Metro Station
727Cluster,J.L.N. Stadium (Sunhari Pullah Nallah Parking),Dwarka More Metro Station
728Cluster,New Delhi Railway Station Gate 2,Sai Baba Mandir (Nazafgarh)
728STLCluster,Sai Baba Mandir (Nazafgarh),Kair Depot
729,Mori Gate Terminal,Kapashera Border
729Cluster,Mori Gate Terminal,Kapashera Border
729B,Mori Gate Terminal,Sadarpur Village
735,J.L.N. Stadium (C.G.O. Complex),Daulatpur
740,Anand Vihar ISBT (Viveka Nand ISBT),Uttam Nagar Terminal
740 Extn.,Anand Vihar ISBT (Viveka Nand ISBT),Uttam Nagar Terminal
740A,Anand Vihar ISBT (Viveka Nand ISBT),Mangla Puri
740ExtCluster,Anand Vihar ISBT (Viveka Nand ISBT),
741,Mangla Puri,Jonti School (Shivalya)
741A,Uttam Nagar Terminal,Katewara Village
753,Mori Gate Terminal,Uttam Nagar Terminal
753Cluster,Mori Gate Terminal,Uttam Nagar Terminal
760,B.M.D. Chowk,Old Nangal
761,Mangla Puri,Azadpur Terminal
761Cluster,Mangla Puri,Azadpur Terminal
764,Najafgarh,Nehru Place Terminal
764ExtCluster,Sai Baba Mandir (Nazafgarh),Okhla Depot IV CWS II
764Cluster,Sai Baba Mandir (Nazafgarh),Nehru Place Terminal
764LnkSTLCluster,Kair Depot,Mangla Puri Terminal
765,Bakkarwala JJ Colony,Hauz Khas Terminal
770,Ambedkar Stadium Terminal,Palam Village
770A,Old Delhi Railway Station,Madhu Vihar
773,Ambedkar Stadium Terminal,Barthal Village
775,Karol Bagh Terminal,Bijwasan Border
778,Inder Lok Metro Station,Madhu Vihar
778A,Inder Lok Metro Station,Dwarka Sector 10 Terminal
781,New Delhi Railway Station Gate 2,Guru Gobind Singh Indraprastha University (Dwarka Sector 16C)
781Cluster,New Delhi Railway Station Gate 2,Dwarka Sec 16C/GGS IP University
783,Delhi Secretariat,Najafgarh
790,Ambedkar Stadium Terminal,Najafgarh
792,Mori Gate Terminal,Barthal Village
794,Nizamuddin Railway Station,Mangla Puri
794Cluster,Nizamuddin Railway Station,Mangla Puri Terminal
801,Inder Lok Metro Station,Kapashera Border
801A,Inder Lok Metro Station,Kapashera Border
803CLCluster,Shivaji Stadium,Madhu Vihar
804,Jahangir Puri E-Block,Kapashera Border
805ACluster,ISBT / Kashmiri Gate,Uttam Nagar Terminal
807ACluster,Old Delhi Railway Station,Uttam Nagar Terminal
808,Tilak Nagar,Mangol Puri Q-Block
808Cluster,Tilak Nagar,Mangol Puri Q-Block
809,Tilak Nagar,Neelwal Village
810,Kendriya Terminal,Uttam Nagar Terminal
810Cluster,Kendriya Terminal,Uttam Nagar Terminal
813CLCluster,ISBT / Kashmiri Gate,Mangla Puri Terminal
813LnkSTLCluster,ISBT / Kashmiri Gate,BBM II Depot
816,Old Delhi Railway Station,Uttam Nagar Terminal
816Cluster,Old Delhi Railway Station,Uttam Nagar Terminal
816ACluster,Mori Gate Terminal,Kair Depot
816ExtDownCluster,Kair Depot,Old Delhi Railway Station
817,ISBT / Kashmiri Gate,Najafgarh
817Cluster,Inder Lok Metro Station,Kair Village
817ACluster,Inder Lok Metro Station,Daurala Border
818,Tilak Nagar,Jhatikara Village
819,Tilak Nagar,Pandwala Kalan
820,Jheel,Subhash Nagar Terminal
822,Tilak Nagar,Issa Pur Temple
823,Kauria Bridge,Uttam Nagar Terminal
824,Tilak Nagar,Kair Village
824LnkSTLCluster,Uttam Nagar Terminal,Kair Depot
825,Tilak Nagar,Jharoda Kalan
826,Tilak Nagar,Ch. Braham Parkash Ayurvedic Hospital
827,Tilak Nagar,Daurala Border
828,Tilak Nagar,Galibpur
829,Tilak Nagar,Sikar Pur
830 Extn.,Anand Vihar ISBT (Viveka Nand ISBT),Khyala JJ Colony
832,Janak Puri D-Block,Inder Lok Metro Station
832Cluster,Janak Puri D-Block,Inder Lok Metro Station
832LinkSTLCluster,Janak Puri D-Block,Kair Depot
833,Karampura Terminal,Goyla Dairy
834,Tilak Nagar,Nanak Heri Border
835,Tilak Nagar,Dhansa Border (Bakkargarh Border)
835Cluster,Tilak Nagar,Dhansa Border (Bakkargarh Border)
835EXTCluster,Tilak Nagar,Kair Depot
835STLCluster,Kair Depot,Dhansa Border (Bakkargarh Border)
836,Tilak Nagar,Mundhela Khurd
838,Jama Masjid,Uttam Nagar Terminal
840 Extn.,New Delhi Railway Station Gate 1,Mahaveer Enclave Part-III (Dwaraka Sector 2)
841,ISBT / Kashmiri Gate,Khyala Village
842,ISBT / Kashmiri Gate,Raghubir Nagar F-Block
844,Najafgarh,Sarang Pur
845,Tilak Nagar,Daulatpur
847,New Seemapuri,Uttam Nagar Terminal
847A,New Seemapuri,Uttam Nagar Terminal
848,Tilak Nagar,Dhansa Border (Bakkargarh Border)
850Cluster,Kendriya Terminal,Sai Baba Mandir (Nazafgarh)
850ADownCluster,Najafgarh,Kendriya Terminal Church Road
851,Delhi Secretariat,Uttam Nagar Terminal
853,Ambedkar Nagar Terminal,Uttam Nagar Terminal
854,Sarai Kale Khan ISBT,Uttam Nagar Terminal
857,Anand Vihar ISBT (Viveka Nand ISBT),Raghubir Nagar F-Block
858 Extn.,Kamla Market,Rajouri Garden Extn.
861A,Uttam Nagar Terminal,Jahangir Puri E-Block
862,Ajmeri Gate,Shivaji Enclave (Raghubir Nagar)
863,ISBT / Kashmiri Gate,JJ Colony Hastsal
866,ISBT / Kashmiri Gate,Barar Square
871,Nizamuddin Railway Station,Vikas Puri H-3
871ACluster,Shivaji Stadium,Uttam Nagar Terminal
871Cluster,Shivaji Stadium,Vikas Puri H-3
872,Tilak Nagar,Surakh Pur
873,Tilak Nagar,Tajpur Khurd
874Cluster,Uttam Nagar Terminal,Badarpur Border
876,Karampura Terminal,Dichaon Kalan
877,Karampura Terminal,Bijwasan Railway Station
878,Tilak Nagar,Malik Pur Zar
879,Janak Puri D-Block,Shahbad Dairy
879A,Janak Puri D-Block,Badli Railway Station
879B,Janak Puri D-Block,Shahbad Dairy
882,Uttam Nagar Terminal,Holambi Kalan JJ Colony
883,Pragati Maidan,Uttam Nagar Terminal
883Cluster,ISBT / Kashmiri Gate,Uttam Nagar Terminal
883ADOWNCluster,Kair Depot,ISBT Kashmere Gate (Nityanand Marg)
883ExtCluster,Mukarba Chowk,Uttam Nagar Terminal
885,Tilak Nagar,Rewla Khan Pur
886,Mehrauli Terminal,Najafgarh
887,Tilak Nagar,Hasan Pur
889,Hari Nagar Clock Tower,Rohini Sector 27
890,Kendriya Terminal,Hastsal Bridge LIG Flats
891,Hari Nagar Clock Tower,Jahangir Puri E-Block
894,Okhla,Karampura Terminal
894A,New Delhi Railway Station Gate 2,Badarpur Border
894CLCluster,Okhla Village,Karampura Terminal
894STLCluster,Okhla Village,J.L.N. Stadium (Sunhari Pullah Nallah Parking)
898,Najafgarh,Asalatpur Khavad
901,Kamla Market,Mangol Puri Y-Block
901Cluster,Kamla Market,Mangol Puri Y-Block
901CLCluster,Ajmeri Gate,Mangol Puri Y-Block
907,Mori Gate Terminal,Nilothi Extn.
908,Karampura Terminal,Sultan Puri
909,Old Delhi Railway Station,West Enclave
910,Shivaji Stadium,Nangloi Syed
912,Vishnu Garden N.W. Chowk,Burari Village
914,Karampura Terminal,Rasul Pur
915,Inder Lok Metro Station,Majra Dabas
915 Extn.,Karampura Terminal,Bawana
917,Ambedkar Stadium Terminal,Madi Pur JJ Colony
918,Ambedkar Stadium Terminal,Kamruddin Nagar
918A,Mori Gate Terminal,Paschim Vihar Water Tank
921,Old Delhi Railway Station,Rani Khera
921 Extn.,ISBT / Kashmiri Gate,Mubarak Pur Dabas
921CLCluster,Old Delhi Railway Station,Rani Khera
921ECluster,Old Delhi Railway Station,Kanjhawla Depot
922,Fatehpuri,Najafgarh
923,Fatehpuri,Najafgarh
924,Old Delhi Railway Station,Majra Dabas
925,Fatehpuri,Nilothi Village
926,Fatehpuri,Tikri Border
926A,Tri Nagar Jai Mata Market,Tikri Border
926B,Old Delhi Railway Station,Shakar Pur JJ Colony (Samrat Cinema)
927,Inder Lok Metro Station,Bawana
927EXTCluster,Punjabi Bagh Terminal,Kanjhawla Depot
927STLCluster,Karampura Terminal,Kanjhawla Depot
928,Karampura Terminal,Garhi Randala
928 Extn.,Old Delhi Railway Station,Savda Ghevra JJ Colony
928 STL,Karampura Terminal,Savda Ghevra JJ Colony
929,Fatehpuri,Maurya Enclave K.D. Block
929Cluster,Old Delhi Railway Station,Mubarak Pur Dabas
929 Extn.,Inder Lok Metro Station,Maurya Enclave K.D. Block
929LSTLCluster,Kanjhawla Depot,Mubarakpur Dabas
931,Punjabi Bagh Terminal,Bakkarwala
934,Karampura Terminal,Neelwal Village
935,Azadpur Terminal,Majra Dabas
936,Pragati Maidan,Gulabi Bagh DDA Flats
937,Old Delhi Railway Station,Sultan Puri
937A,Old Delhi Railway Station,Sultan Puri
937ACluster,Old Delhi Railway Station,Sultan Puri Terminal
938,Azadpur Terminal,Tikri Border
938ACLCluster,Azadpur Terminal,Sarvodya Kanya Vidhyalaya / PVC Market
938LinkStlCluster,Kanjhawla Depot,Sarvodya Kanya Vidhyalaya / PVC Market
939,Anand Vihar ISBT (Viveka Nand ISBT),Mangol Puri Q-Block
939 Extn.,Anand Vihar ISBT (Viveka Nand ISBT),Inder Enclave
940,Shivaji Stadium,Mangol Puri Q-Block
941,Old Delhi Railway Station,Katewara Village
942,Fatehpuri,Kair Village
943,Anand Vihar ISBT (Viveka Nand ISBT),Sultan Puri Terminal
944,Kendriya Terminal,Sultan Puri
947,IGI Airport,Savda Ghevra Village
947A,Bhatti Mines,Savda Ghevra Village
949,Delhi Secretariat,Tikri Border
949 Extn.,Sarai Kale Khan ISBT,Savda Ghevra JJ Colony
949A,Jheel,Savda Ghevra JJ Colony
951,Kamla Market,West Enclave
952,Uttam Nagar Terminal,Auchandi Border
954,Ambedkar Stadium Terminal,Sultan Puri Terminal
957,Shivaji Stadium,Rohini Sector 22 Terminal / Begumpur
957A,Shivaji Stadium,Inder Enclave
961,Narela Terminal,Najafgarh Terminal
962,Kendriya Terminal,Kanjhawla Village
962 STL,Karampura Terminal,Kanjhawla Village
962A,Shivaji Stadium,Majra Dabas
962B,Kendriya Terminal,Mubarak Pur Dabas
962ExtCLCluster,Punjabi Bagh Terminal,Kanjhawla Depot
962STLCluster,Karampura Terminal,Kanjhawla Depot
963,Shivaji Stadium,Bakkarwala JJ Colony
966,Nizamuddin Railway Station,Kamruddin Nagar
966 Extn.,Nizamuddin Railway Station,Kamruddin Nagar
968,Inder Lok Metro Station,Dhansa Border (Bakkargarh Border)
969,Narela Terminal,Uttam Nagar Terminal
969A,Lampur Border,Wazirpur Depot
970,J.L.N. Stadium (C.G.O. Complex),Rohini Sector 1 Avantika
970B,Nizamuddin Railway Station,Tri Nagar Jai Mata Market
970C,J.L.N. Stadium (C.G.O. Complex),West Enclave
971,Anand Vihar ISBT (Viveka Nand ISBT),Rohini Sector 1 Avantika
971A,Anand Vihar ISBT (Viveka Nand ISBT),BH Block Shalimar Bagh
972,Harewali Village,Uttam Nagar Terminal
972Cluster,Harewali Village,Uttam Nagar Terminal
972A,Bawana,Uttam Nagar Terminal
972EXTCluster,Bawana Village,Uttam Nagar Terminal
975,Kendriya Terminal,Rohini Sector 11 SFS Flats
976,Anand Vihar ISBT (Viveka Nand ISBT),Nithari
978,Azadpur Terminal,Najafgarh
979,Nangloi,Narela Terminal
980,Pragati Maidan,Kamruddin Nagar
981,Singhu Border,Tikri Border
982,New Seemapuri,Sultan Puri
982LnkSTLCluster,BBM II Depot,Sultan Puri Terminal
983,Karampura Terminal,Harewali Village
984A,Rohini Sector 1 Avantika,Lajpat Nagar
985,Rajendra Nagar R-Block,Shahbad Dairy
988,Palika Kendra,Qutubgarh Border
990,Shivaji Stadium,Rithala Village
990 Extn.,Shivaji Stadium,Rohini Sector 24 Pocket-18
990A,Shivaji Stadium,Rohini Sector 25 (Deep Vihar)
990B,Sarojini Nagar Depot,Rajiv Rattan Avas Yojna Sector 3 Bawana
990CLCluster,Shivaji Stadium,Rithala Village
990E_CLCluster,Shivaji Stadium,Rohini Sector 23 Pkt 1 (Green Hill Aptt.)
990SPL,Shivaji Stadium,Rohini Sector 23 Pocket-C
991,Shivaji Stadium,Mubarak Pur Dabas
998,Raghubir Nagar F-Block,Bakkarwala JJ Colony
West Delhi Mudrika,Madhu Vihar,Madhu Vihar
Yamuna Mudrika,ISBT Kashmere Gate (Nityanand Marg),ISBT Kashmere Gate (Nityanand Marg)
TMSAzadpurLajpat,Azadpur Terminal,Lajpat Nagar Ring Road
TMS,Raja Garden,Raja Garden
TMSLajpatNagar,Lajpat Nagar,Lajpat Nagar
TMSLajpatNgrAzadpurTerminal,Lajpat Nagar Ring Road,Azadpur Terminal
Gramin Mudrika,Qutubgarh Border,Qutubgarh Border
Air Port ExPress 4,ISBT / Kashmiri Gate,IGI Airport TerminalIII
OMS,Anand Vihar ISBT (Viveka Nand ISBT),Anand Vihar ISBT (Viveka Nand ISBT)
OMS,Uttam Nagar Terminal,Anand Vihar ISBT (Viveka Nand ISBT)
WDM(+),Madhu Vihar,Madhu Vihar
YMS(-),Mori Gate Terminal (Khoya Mandi),Mori Gate Terminal (Khoya Mandi)
By Pass Express,Uttam Nagar Terminal,Sarai Kale Khan I.S.B.T.
8A,Noida Phase 2,Nehru Place Terminal
19A,Palika Kendra,Jahangirpuri Terminal
19B,Jama Masjid,Jahangir Puri E-Block
34A,Lado Sarai,Mayur Vihar Ph-III
39A,Anand Vihar Terminal,Tri Nagar Jai Mata Market
39STL,Jheel Terminal,Anand Parbat Terminal
88,Tri Nagar Jai Mata Market,Kashmere Gate I.S.B.T.
116,Old Delhi Railway Station,Bawana JJ Colony KL-Block
116B,Shadipur Depot,Bawana J.J.Colony
323,Noida Sector 62,Dhaula Kuan
340,Kendriya Terminal,Nand Nagari Terminal
341,Anand Vihar ISBT (Viveka Nand ISBT),Holambi Kalan JJ Colony
347,ISBT / Kashmiri Gate,Noida Sector 34 U.P. Roadways Terminal
174,Kanjhawala Village,Azad Pur Terminal
178,Sannoth Village,Azadpur Terminal
187-A,Samaypur Badli Railway Station,Palika Kendra
188,Qutab Garh,Kendriya Terminal (Church Road)
211B,Mayur Vihar Phase 3 Terminal,Mori Gate Terminal
233,Nihal Vihar T-Point,Old Delhi Railway Station
258SPL,Sabhapur Village,Mori Gate Terminal
348,Mori Gate Terminal,Mayur Vihar Ph-III
349,Kendriya Terminal,Mayur Vihar Ph-III
357A,Anand Vihar ISBT Main Road,Sabhapur Village
398,Mayur Vihar Phase III,Dhaula Kuan
433A,Tehkhand Depot,Safdarjung Terminal
448B,Ambedkar Nagar Terminal,Punjabi Bagh Terminal
479STL,Kushak Nallah Depot,Badarpur Border
506STL,Mehrauli Terminal,Jheer Khore Mandir
525STL,Qutab Minar Metro Station,Badarpur Border
529Spl.,Saiyyad Nanglo,Nehru Place Terminal
539A,Najafgarh Terminal,Ambedkar Nagar Terminal / Dipsar
539K,Kapashera Border,Najaf Garh Terminal
567A Spl,Nehru Place Terminal,Mubarakpur Dabas
605Spl.,D.P.S.Vasant Kunj,Mori Gate Terminal
610-B,North Block (Sena Bhavan),Gole Market
703A,Uttam Nagar Terminal,Kendriya Terminal
728,Najafgarh Terminal,New Delhi Railway Station Gate 2
740B,Bindapur Dda Flats,Anand Vihar I.S.B.T.
770B,Patiala House,Dwarka District Court
794A,Nizamuddin Railway Station,Dwarka Sector 10
803,Shivaji Stadium,Madhu Vihar
804A,Kapashera Border,Jahangirpuri Terminal
813,Mangla Puri Terminal,ISBT Nityanand Marg
816A,I.S.B.T. Kashmere Gate,H-3 Vikaspuri
817N,Najaf Garh Terminal,Kashmere Gate I.S.B.T.
821,Tilak Nagar Terminal,Jaffar Pur Kalan
825A,Tikri Border,Tilak Nagar
828A,Sarangpur,Najafgarh Terminal
844,Najaf Garh,Sarang Pur
849,I.L.A.,Acquacallenti
864,Sarai Kale Khan I.S.B.T.,Tilak Nagar
879D,Rohini Sector 16,Rani Bagh
882A,Uttam Nagar Terminal,Narela Terminal
910A,Nihal Vihar,New Delhi Railway Station Gate No.2
938A,Tikri Border,Azadpur Terminal
938B,Rithala Metro,Mundka Village
948,Narela Terminal,Kanjhawala Chowk
953,Q-Block Mangolpuri Terminal,Ajmeri Gate / Kamla Market
966B,Sultanpuri Terminal,Nizamuddin Railway Station
970A,Rohini Sector 16,C.G.O. Complex
972B,Peera Garhi Depot,Ghoga Village
