No,Depot Name in English,Depot Name in Marathi,Depot Code,Inauguration,Address,Bus Route No.,Bus Stations,Major Operations
1,Colaba,कुलाबा,C,,"Electric House, Colaba, Mumbai","1, 6L, 103, 108, A111, 113, A115, A138 and A116 (Double Decker), 139","Colaba Depot, Chht. Shivaji Terminus, Ballard Pier","Colaba, Chht. Shivaji Maharaj Terminus, Fort, Churchgate, Malabar Hill, Nariman Point, Girgaon, Andheri (E), Bandra (W), Mahul"
2,Backbay,बॅकबे,BB,1976,"Cuffe Parade Road, Backbay, Mumbai","3, 25L, 100, 106, A3, A6, A25, A106, 112, A112, 115, A115, A116, A120, A121, 122, 134, A134, A136, A137, A138, 8SPL, 9SPL, HO-HO Service","Backbay Depot, Navy Nagar, Colaba Bus Stn., Ahilyabai Holkar Chk.","Backbay, Nariman Point, Churchgate, Byculla, Colaba, Antop Hill, Sion, Kurla, Mahul, Mantralaya, Malabar Hill, Nepean Sea Road, Chhatrapati Shivaji Maharaj Terminus, Gateway of India, Charni Road, Opera House (Girgaon), Tardeo, Sewree, Ballard Pier"
3,Mumbai Central,मुंबई सेंट्रल,CN,1950,"Morland Road, Byculla, Mumbai","42, A49, A63, A102, A104, A105, A123, A126, A132, A135, A154, A155, A351","Mumbai Central Depot, Ferry Wharf, Jijamata Udyan, Vasantrao Naik Chk., Byculla Stn. [W],","Mumbai Central, Tardeo, Byculla, Mazgaon, Walkeshwar, Chembur, Vikhroli, Malabar Hill, Ferry Wharf, August Kranti Maidan, Mazgaon, Mahul, Chunabhatti, Mahalakshmi, Chhatrapati Shivaji Maharaj Terminus, Grant Road, Pydhonie, Navy Nagar, Mantralaya, Tardeo, Fort, Worli, Cumbala Hill, Antop Hill, Byculla (W), Nepean Sea Road"
4,Worli,वरळी,WR,1961,"Off A. B. Road, Worli, Mumbai","44, 50, 56, A82, A89, 110, A124, 125, A162, A167, A171, A/354, C-54 Exp","Worli Depot, Worli Village, Com. P. K. Kurne Chk.","Worli, Dadar (W), Prabhadevi, Parel, Mulund (W), Fort, Ferry Wharf, Versova, Mantralaya, Wadala (E), Colaba, Navy Nagar, Sewree, Airoli, Prabhadevi Stn (W), Antop Hill, Santacruz (W), Backbay, Chunabhatti"
5,Wadala,वडाळा,W,1961,"Tilak Road, Opp. Dr. Babasaheb Ambedkar College, Wadala, Mumbai","14B, 40L, 57, 69, 77, 151, 165, 168, 174, 212, 217, 411, C-440 Exp, A440, C-521 Exp","Wadala Depot, P. Thakre Udyan","Wadala, Dadar (E), Sewree, Chandivali (Andheri (E)), Parel, Worli, Malabar Hill, Nepean Sea Road, Fort, Colaba, Reay Road, Antop Hill, Breach Candy, Byculla (W), Dadar (W), Bandra (W), Borivali (E), Chembur, Malad (W), Ghansoli"
6,Marol,मरोळ,M,1968,"Central Road, MIDC, Marol, Andheri (E), Mumbai","22L, A186, 307, 333, 334, 335, 340, 435, 443, 522L, 545L, 706L, A337, A338, A340, A441, A442, A443, A434","Marol Depot, Agarkar Chowk, Marol Maroshi Bus Stn.","Andheri (E), Marol, Chandivali, Sahar, Maroshi, MBP (Millenium Business Park) - Mahape, Airoli, Bhayandar Rly Station (E), Colaba Depot, Pydhonie, Worli, Powai, Mulund (W), Versova, Ghatkopar (W), Sahar, Thane (W), Vihar Lake"
7,Dharavi,धारावी,DH,1980,"Bandra-Sion Link Road, Dharavi, Mumbai","2L, 11L, 87L, 164, 303, C-305 Exp, 310, 313, 311, 316, 317, BKC-1, BKC-3, BKC-21 (AC), BKC-22 (AC), BKC-23 (AC)","Dharavi Depot, Bandra Rly Ter [E], Bandra Colony Bus Stn., Santacruz Rly Stn (E)","Bandra (E), BKC, Sion, Dharavi, Navy Nagar, Mantralaya, Mazgaon, Bhuleshwar, Mulund (W), Kurla (W), Santacruz (E), Kalina, Borivali (E), Thane (Hiranandani Estate), Mulund (Maharana Pratap Chowk)"
8,KalaKilla,काळाकिल्ला,KK,31.01.2016,"Bandra-Sion Link Road, Dharavi, Mumbai","27, C-42, 46, 52, 66, 176, C-302, 352, 463, AC42Exp, C71Exp, C72Exp","KalaKilla Depot, Dharavi Depot, Bandra Rly Ter [E], Bandra Colony Bus Stn.","Bandra (E), BKC, Sion, Cotton Green, Dharavi, Dadar (W), Ballard Pier, Mulund (W), Trombay, Mira Road Rly Stn (E), Bhayander Rly Station (E), Ferry Wharf, Matunga (W), Mahim (W)"
9,Magathane,मागाठणे,MT,1992,"Near Tata Steel, Western Express Highway, Borivali (E), Mumbai-400066.","209, 297, A298, A301, A477, 498L, 524L, A698, C-700, 702L, 709L, 710L","Magathane Depot, Borivali Stn. [E], Samata Nagar","Chandivali (Andheri (E)), Borivali (E), Dahisar (E), Ghatkopar (E), Kandivali (E), Thane, Mira Road Rly Station (E), Bhayandar Rly Station (E)"
10,Dindoshi,दिंडोशी,DIN,1985,"Film City Road, Dindoshi, Mumbai","282, A287, A288, 289, A300, 326, 327, 342, 343, 344, 346, 347, 349, 398L, 447, 451, 452, 523L, 601, 624, 646, 701L, 705L, 718L, A624","Dindoshi Depot, Goregaon Stn [E], Kandivali Bus Stn., Shivshahi Prakalp, N.N.P, Gokuldham","Kandivali (E), Malad (E), Kurla (W), Mulund (W), Goregaon (E), Airoli, Mira Road Rly Stn (E), Mira Road (E), Bhayandar Rly Station (E)"
11,Majas,मजास,MJ,15.08.1995,"J.V.L.R, Jogeshwari (E), Mumbai","35, 39, 308, 319, 332, 333, 392, 410, 415, 428, 492L, 496L, 525L","Majas Depot, Seepz Bus Stn., Satbhakti Mandir","Jogeshwari (E), Andheri (E), Seepz, Worli, Dadar (W), Vidya Vihar (W), Vashi, Kurla (W), Sahar Airport, Vikhroli (W), Bhandup (W), Thane (W)"
12,Kurla,कुर्ला,K,1955,"L.B.S. Road, Kurla (W), Mumbai","37, 62, 311, 313, 318, 320, 322, 323, 330L, 332, 365, 413, 426, 446, 507L, 517L, 613, 618, BKC-2","Kurla Stn. [W], Santacruz Stn. [E], Vidyavihar Bus Stn.","Santacruz (E), Kurla (W), BKC, Vidyavihar (W), Malabar Hill, Nepean Sea Road, Dadar (W), Santacruz (E), Bandra (E), Vihar Lake, Vile Parle (E), Andheri (E), Andheri (W), Sahar Cargo Complex, Vashi (APMC Market)"
13,Bandra,वांद्रे,BN,1980,"Bandra Rly Stn (W), Mumbai","80L, 211, 214, 215, 220, 222, 225, 321L, 422, 473, C-55 Exp, C-86 Exp, C-505 Exp","Bandra Bus Stn. [W], Mahim Bus Stn., Bandra Reclamation Bus Stn.","Bandra (W), Bandra (E), Khar (W), Mahim (W), CBD Belapur Bus Stn, Malabar Hill, Colaba, Backbay, Dahisar (E), Malad (E), Ghatkopar (W), Vikhroli (W), Mulund (W), Mahul Village"
14,Santacruz,सांताक्रूझ,S,1950,"Swami Vivekanand Road, Santacruz (W), Mumbai","C-1, 51, 79, 83, 224, 231, 339, 355L, 356L, C-12 Exp","Santacruz Depot, Juhu Vile Parle Bus Stn., Santacruz Stn. [W]","Santacruz (W), Khar (W), JVPD, Juhu, Dahisar (E), Dahisar (W), Worli, Colaba, Fort, Malabar Hill, Churchgate, Vile Parle (W), Andheri (W), Borivali (W), Jogeshwari (E), Chembur (E), Trombay, Juhu"
15,Goregaon,गोरेगांव,GG,1978,"Near Motilal Nagar, Goregaon (W), Mumbai","201, 203, A203, 204, 205, 424, 425, 454, 464L, 469L, 707L, C-33 Exp","Goregaon Depot, Goregaon Bus Stn., Jogeshwari Bus Stn.","Goregaon (W), Jogeshwari (W), Sewri, Worli, Dahisar (W), Juhu, Andheri (W), Mulund (W), Bhandup (W), Ghatkopar (E), Goregaon (E), Bhayandar Rly Stn (E)"
16,Oshiwara,ओशिवरा,OSH,1990,"Oshiwara Village, Goregaon (W), Mumbai","4L, A32, 84L, 200, 221, A203, A221, 223L, A235, 242, A248, 251, A252, 254, A257, 266, A251, A254, A266, A627","Oshiwara Depot, Andheri Stn. [W], Yari Road Bus Stn.","Jogeshwari (W), Andheri (W), Versova, Mazgaon, Mahim, Worli, Wadala, Kandivali (E), JVPD"
17,Poisar,पोयसर,P,1966,"Swami Vivekanand Road, Kandivali (W), Mumbai","203, 210L, 239, 244, 246, 276, 277, 280, 281, 284, 286, 290L","Poisar Depot, Kandivali Stn. [W]","Kandivali (W), Borivali (W), Dahisar (W), Juhu, Andheri (W), Malwani, Malad (E), Andheri (E)"
18,Gorai,गोराई,GR,29.01.1996,"Lokmanya Tilak Road, Gorai, Mumbai","A/202L, 206, A208, 226L, A240, A245, A247, 259, A269, A294, A345, 460L, 461L","Gorai Depot, Borivali Stn. [W], P. Thakre Nagar Bus Stn., Kandharpada Bus Stn.","Gorai, Borivali (W), Andheri (W), Dahisar (W), Dahisar (E), Goregaon (E), Andheri (E), Mulund (W), Mahim (W), Santacruz (W), Ghatkopar (W), Madh"
19,Malvani,मालवणी,MLV,26.01.1991,"Malvani, Malad (W), Mumbai","A180, 207, 241, A256, A273, A359, A456, 459L, A620, A621, A622","Malvani Depot, Madh Jetty, Marve","Malad (W), Malvani, Madh, Mulund (W), Sahar, Andheri (W), Dahisar (E), Mahim (W), Juhu, Powai, Goregaon (E), Bhayander (E)"
20,Malad,मालाड,MLD,01.04.2014,"Chincholi Bunder, Malad (W), Mumbai","243, 262, 270, 271, 272","Malad Depot, Malad Stn. (W), Malad Stn. [E]","Malad (W), Sainath Marg, Anand Marg, Marve Beach, Madh Island, Chunabhatti, Sion, Goregaon (W),"
21,Anik,आणिक,A,1988,"Salt-pan Road, Wadala, Mumbai.","A5, 58, A59, 75, 85, 181, A341, A360, A361, A362, 363, A367, A369, A377, A431, A432","Anik Depot, Kurla Bus Stn. East, Chunabhatti Bus Terminus","Kurla (E), Sion, Anik, Chunabhatti, Mahul Village, Dahisar (E), Trombay, Airoli, Churchgate, Wadala (E), Dadar, Mazgaon, Sion, Cuffe Parade, Girgaon"
22,Prateeksha Nagar,प्रतीक्षानगर,PN,1996,"Salt-pan Road, Wadala, Mumbai","9, 14, 15, 43, 60, 67, 88, 169, 172, 255L, 312, 348L, 501L","Prateeksha Nagar Depot, Antop Hill, Antop Hill Extn.","Antop Hill, Wadala (E), Matunga (E), Borivali (E), Colaba, Churchgate, Mazgaon, Malabar Hill"
23,Deonar,देवनार,D,1969,"Sion–Trombay Road, Deonar, Mumbai","A21, A26 Exp, A92, A364, A380, A382, 399L, 502L, 504L, A663, C-21 Exp, A-60 Exp","Deonar Depot, Trombay, Anushakti Nagar","Chembur (E), Trombay, Mankhurd, Anushakti Nagar, Borivali (E), Govandi (E), Nerul, Vashi Bus Stn, Kharghar, Fort, Mahul Village, Sahar"
24,Shivaji Nagar,शिवाजीनगर,SN,1998,"Govandi, Shivaji Nagar, Mumbai","8L, A19, A350, A357, 372, A375, A376, A379, A383, A404, A488, 489L","Shivaji Nagar Depot, Shivaji Nagar Terminus, Dr. Ambedkar Udyan (Chembur)","Shivaji Nagar, Govandi (W), Chembur (W), Goregaon (E), Mumbai Central, Churchgate, Fort, Bandra (W), Mahim, Chembur Colony, Kurla (E), Chembur (E)"
25,Ghatkopar,घाटकोपर,G,1974,"Ghatkopar (E), Mumbai","A185, A325, A381, A385, A394, A397, A419, A421, A427, A430, A453, A470L, A481, A494, A499, 511L, 533L, C-53 Exp","Ghatkopar Depot, Ghatkopar Bus Stn., Ghatkopar Stn (E), Ghatkopar Stn (W), Kannamwar Nagar 2","Ghatkopar (W), Ghatkopar (E), Vihar Lake, Chandivali, Kannamwar Nagar, Vashi (APMC Market), Nerul, Kalamboli, Borivali (E), Andheri (E), Thane"
26,Vikhroli,विक्रोळी,V,1972,"L.B.S Road, Vikroli (W), Mumbai","7L, 331, 386, 387, 416, 418, 478L, 602, 603, 604, 605, 606, 607, 608, 612","Vikhroli Depot, Bhandup Stn. (W), Kanjurmarg Stn. (W)","Vikhroli (W), Ghatkopar (W), Bhandup (W), Kanjurmarg (W), Hiranandani Bus Depot, Borivali (E), Pydhonie,"
27,Mulund,मुलुंड,MU,1999,"Devidayal Road, Mulund (W), Mumbai","A391, A396L, A402, A403, A409L, A412, A414, A423, A493, A484, 512L, C-61 Exp, C-513 Exp","Mulund Depot, Mulund Stn. (W), Mulund Bus Stn. [W], Mhada Bus Stn. [E]","Mulund (W), Thane, Mulund (E), Bandra (W), Sewree, Nahur, Vashi Rly Stn, Nerul Bus Stn, Mira Road Rly Stn (E), Andheri (E), Sahar"
