Sl.No,ULB,Major Industries (No's),Major Companies (No's),Parks (No's),Lakes / tanks (No's),Community Halls (No's),Smruthivanam (No's),Burial Grounds (No's),Municipal Open Spaces (No's),Hotels (No's),Vegetable Markets,Non Vegetable Markets,Last updated
1,Adilabad,12,0,2,9,12,0,9,29,0,2,3,11/07/18 12:06
2,Andol-Jogipet,0,0,2,1,2,0,12,1,0,1,1,25/10/17 3:17
3,Armoor,0,0,0,0,0,1,9,0,11,1,2,20/07/18 12:25
4,Atchampet,0,0,0,3,6,1,2,12,12,1,1,25/10/17 3:17
5,Badangpet,0,2,4,27,26,1,28,147,15,0,0,25/10/17 3:17
6,Badepally,0,0,0,4,4,0,8,0,14,1,1,25/10/17 3:17
7,Bellampalle,0,0,2,4,4,0,5,0,5,1,1,05/07/18 4:11
8,Bhainsa,32,0,1,1,4,1,30,15,14,2,1,07/07/18 11:35
9,Bhongir,0,0,5,1,21,0,8,42,0,2,3,25/10/17 3:18
10,Bhupalapally,0,0,1,0,1,0,2,0,3,1,1,02/01/18 5:12
11,Bodhan,1,0,3,2,5,0,15,12,15,1,3,25/10/17 3:17
12,Boduppal,0,0,9,5,33,1,10,296,0,0,0,25/10/17 3:17
13,Devarakonda,0,0,0,0,0,0,8,13,12,1,0,25/10/17 3:17
14,Dubbaka,1,0,1,71,20,2,5,5,27,3,2,25/10/17 3:18
15,Gadwal,0,0,0,0,0,0,0,0,0,1,2,25/10/17 3:18
16,Gajwel,0,0,0,0,0,0,8,0,0,3,3,05/07/18 7:25
17,Husnabad,0,0,0,0,0,0,8,20,16,1,2,25/10/17 3:17
18,Huzurabad,0,0,0,4,0,0,3,8,12,1,0,05/07/18 5:53
19,Huzurnagar,0,0,0,0,0,0,7,0,11,0,0,25/10/17 3:17
20,Ibrahimpatnam,0,0,0,0,0,0,0,0,0,0,0,25/10/17 3:28
21,Ieeja,0,0,0,3,0,0,9,0,15,0,0,25/10/17 3:17
22,Jagtial,0,0,1,3,4,0,11,2,29,3,3,25/10/17 3:17
23,Jammikunta,0,0,0,3,0,1,0,4,16,1,0,25/10/17 3:17
24,Jangoan,0,0,1,2,6,1,8,11,45,2,0,09/01/18 4:30
25,Jelpally,6,92,4,2,6,1,9,3,0,0,0,12/07/18 2:15
26,Jillelguda,0,0,2,1,17,2,3,41,6,0,0,31/10/17 6:14
27,Kagaznagar,7,0,4,0,11,0,4,3,22,2,2,06/07/18 4:47
28,Kalwakurthy,0,4,0,0,4,0,11,96,12,1,2,25/10/17 3:18
29,Kamareddy,0,0,1,1,0,1,2,157,9,2,1,14/02/18 1:18
30,Karimnagar,0,0,5,0,0,0,20,44,221,4,3,07/07/18 2:28
31,Khammam,0,0,0,0,0,0,0,0,0,0,0,25/10/17 3:22
32,Kodada,0,0,0,0,0,0,0,0,0,0,0,25/10/17 3:17
33,Kollapur,0,0,1,9,11,1,11,2,4,1,1,25/10/17 3:17
34,Korutla,0,0,1,3,5,0,18,17,32,2,1,06/07/18 12:04
35,Kothagudem,0,0,2,0,6,0,4,2,0,2,1,25/10/17 3:17
36,Madhira,0,0,0,0,0,1,13,0,0,1,0,25/10/17 3:17
37,Mahabubabad,0,0,0,0,0,0,0,0,0,0,0,10/07/18 3:34
38,Mahabubnagar,1,0,2,7,15,0,21,34,21,2,2,17/07/18 4:56
39,Mancherial,1,1,6,0,4,1,6,0,0,2,2,25/10/17 3:17
40,Mandamarri,1,1,1,3,5,0,3,0,5,1,0,07/07/18 1:04
41,Manuguru,0,0,0,8,2,0,0,0,15,1,2,05/07/18 3:51
42,Medak,0,0,1,0,18,1,14,37,6,1,1,05/07/18 4:48
43,Medchal,12,38,0,3,0,0,16,60,8,1,1,25/10/17 3:18
44,Meerpet,0,0,0,2,11,5,4,41,10,1,0,25/10/17 3:18
45,Metpally,0,0,1,1,3,0,16,1,11,1,2,25/10/17 3:17
46,Miryalaguda,100,2,3,2,14,0,7,18,0,2,2,25/10/17 3:17
47,Nagarkurnool,0,0,2,1,1,0,3,1,23,1,1,25/10/17 3:17
48,Nalgonda,0,0,0,0,0,0,0,0,0,0,0,25/10/17 3:17
49,Narasmpet,10,0,2,0,10,0,7,15,30,2,2,05/07/18 3:33
50,Narayanpet,0,0,4,0,12,2,5,27,18,1,1,25/10/17 3:17
51,Nirmal,27,0,1,11,2,0,24,28,10,2,1,11/07/18 4:14
52,Nizamabad,0,0,14,0,0,0,0,0,27,6,4,19/07/18 7:42
53,Palwancha,0,0,0,0,0,0,0,0,0,0,0,05/07/18 1:24
54,Parakala,0,0,1,2,0,0,10,0,0,1,0,08/07/18 12:25
55,Pedda Amberpet,0,0,0,9,22,0,16,68,0,0,0,25/10/17 3:18
56,Peddapalli,0,0,0,2,0,0,14,3,0,1,1,25/10/17 3:18
57,Peerzadiguda,0,0,2,2,10,1,8,17,10,1,0,03/01/18 4:04
58,Ramagundam,4,4,4,13,26,1,4,24,60,5,5,12/07/18 12:28
59,Sadasivpet,2,5,1,0,0,0,23,23,3,2,1,25/10/17 3:18
60,Sangareddy,0,0,1,6,3,1,27,42,45,3,2,25/10/17 3:18
61,Satupally,1,0,1,3,3,0,4,13,3,1,1,10/07/18 3:38
62,Shadnagar,2,1,2,1,0,1,6,131,32,1,1,07/07/18 7:01
63,Siddipet,0,4,5,14,20,1,16,17,80,2,3,25/10/17 3:18
64,Sircilla,0,0,4,0,7,0,2,0,0,1,1,04/01/18 10:34
65,Suryapet,2,0,3,3,7,0,8,26,46,0,0,25/10/17 3:18
66,Tandur,0,0,0,0,0,0,0,0,0,0,0,25/10/17 3:18
67,Vemulavada,0,0,0,0,0,0,0,0,0,0,0,25/10/17 3:18
68,Vikarabad,0,0,1,1,0,1,23,115,69,1,1,05/07/18 7:00
69,Wanaparthy,0,0,5,2,8,0,3,34,20,1,1,25/10/17 3:18
70,Warangal,0,0,0,0,0,0,0,0,0,0,0,13/07/17 3:30
71,Yellandu,0,0,1,1,1,0,3,1,0,1,0,25/10/17 3:18
72,Zaheerabad,1,1,3,0,5,1,5,40,15,1,1,25/10/17 3:18