SR. NO,BR. CODE,BR. NAME,CIRCLE
1806,285,VITA (KHANAPUR),Mumbai
1807,288,MOHOL,Mumbai
1808,290,WORLI NORTH,Mumbai
1809,309,AMALNER,Mumbai
1810,345,CHALISGAON,Mumbai
1811,399,KALYAN,Mumbai
1812,509,PANAJI,Mumbai
1813,511,VASCO-DA-GAMA,Mumbai
1814,533,CHEMBUR,Mumbai
1815,534,ISLAMPUR,Mumbai
1816,536,WAI,Mumbai
1817,552,MALAD WEST,Mumbai
1818,557,PONDA,Mumbai
1819,1131,GHATKOPAR WEST,Mumbai
1820,1175,KALVAN,Mumbai
1821,1383,RAVER,Mumbai
1822,1399,TILAK ROAD PUNE,Mumbai
1823,1656,STATION ROAD SOLAPUR,Mumbai
1824,1809,SATARA ADB,Mumbai
1825,1817,SAKOLI ADB,Mumbai
1826,1886,KURLA WEST,Mumbai
1827,1887,MARKET YARD KOLHAPUR,Mumbai
1828,1938,PRAMODNAGAR (DEOPUR),Mumbai
1829,1941,SHASTRI NAGAR CHANDRAPUR,Mumbai
1830,1963,LASALGAON,Mumbai
1831,2139,ARAG,Mumbai
1832,2147,CHANDUR BAZAR,Mumbai
1833,2149,DHADGAON,Mumbai
1834,2152,DONGAON,Mumbai
1835,2157,KARANJA (GHADGE),Mumbai
1836,2158,KURDUWADI,Mumbai
1837,2160,LONAR,Mumbai
1838,2162,MALEGAON,Mumbai
1839,2166,NANDURA,Mumbai
1840,2167,NARDANA,Mumbai
1841,2168,NERPARSOPANT,Mumbai
1842,2177,SHEMBALPIMPRI,Mumbai
1843,2178,SHIRWAL,Mumbai
1844,2184,NAVGHAR (BASSEIN ROAD),Mumbai
1845,2271,KAMOTHE,Mumbai
1846,2423,AMDAPUR,Mumbai
1847,2483,ASHTI,Mumbai
1848,2897,DHAD,Mumbai
1849,3077,DHANKI,Mumbai
1850,3109,DEONAR,Mumbai
1851,3145,INDUSTRIAL AREA SOLAPUR,Mumbai
1852,3225,MULUND WEST,Mumbai
1853,3282,KHAMGAON ADB,Mumbai
1854,3284,MEHKAR ADB,Mumbai
1855,3359,MALKAPUR ADB,Mumbai
1856,3403,AMBAJOGAI,Mumbai
1857,3404,ANDUR,Mumbai
1858,3407,WADIGODRI,Mumbai
1859,3423,JINTUR,Mumbai
1860,3443,JEUR,Mumbai
1861,3474,VISARWADI,Mumbai
1862,3519,JALGAON JAMOD ADB,Mumbai
1863,3538,VAIJAPUR,Mumbai
1864,3668,BEED,Mumbai
1865,3670,NILANGA,Mumbai
1866,3672,PARANDA,Mumbai
1867,3674,TULJAPUR,Mumbai
1868,3675,DEGLOOR,Mumbai
1869,3797,SAILU,Mumbai
1870,3798,MANJALEGAON,Mumbai
1871,3799,BABHULGAON,Mumbai
1872,3801,PATHRI,Mumbai
1873,3802,BASMATH NAGAR,Mumbai
1874,3812,DEONI,Mumbai
1875,3842,KADA,Mumbai
1876,3843,GEORAI ADB,Mumbai
1877,3846,NIZAMPUR SAB,Mumbai
1878,3895,MANORA,Mumbai
1879,3900,MAHAGAON,Mumbai
1880,3904,KORADI,Mumbai
1881,3954,SAKHARKHERDA,Mumbai
1882,3955,UNDRI,Mumbai
1883,3990,KANHAN KHANDELWAL NAGAR,Mumbai
1884,4319,THANE COLLECTORATE CAMPUS,Mumbai
1885,4451,WASHI (OSMANABAD),Mumbai
1886,4561,PURNA,Mumbai
1887,4684,KARKAMB,Mumbai
1888,4691,TIRTHPURI,Mumbai
1889,4706,GANGAKHED,Mumbai
1890,4712,TALODHI (BALAPUR),Mumbai
1891,4743,ADB BIBI,Mumbai
1892,4754,SONALA,Mumbai
1893,4756,WADWANI,Mumbai
1894,4762,MARKET YARD SOLAPUR,Mumbai
1895,4799,SHIRUR ANANTPAL,Mumbai
1896,4877,MAHUR,Mumbai
1897,4918,JAMB,Mumbai
1898,4929,MANCHAR,Mumbai
1899,5318,BHAYANDAR,Mumbai
1900,5399,RAJUR,Mumbai
1901,5425,YERMALA,Mumbai
1902,5427,AMGAON ADB,Mumbai
1903,5429,JAWALA BAZAR,Mumbai
1904,5442,MOTALA,Mumbai
1905,5446,SANGADI,Mumbai
1906,5909,KURKHEDA,Mumbai
1907,5928,DOGARKADA ADB,Mumbai
1908,5929,LOHA ADB,Mumbai
1909,5935,APMC NANDED,Mumbai
1910,5937,INTERNATIONAL AIR CARGO COMPLEX,Mumbai
1911,5995,SHIRUR (PATODA),Mumbai
1912,6040,MIDC AREA AHMEDNAGAR,Mumbai
1913,6164,UMAPUR,Mumbai
1914,6166,JANEPHAL,Mumbai
1915,6303,ADARSHA COLONY LATUR,Mumbai
1916,6330,SASTI,Mumbai
1917,6332,DATTA CHOWK (YAVATMAL),Mumbai
1918,6334,DHARUR,Mumbai
1919,6443,JUNNAR ADB,Mumbai
1920,6793,INDAPUR ADB,Mumbai
1921,6966,HINGOLI ADB,Mumbai
1922,6996,AKOLA ADB,Mumbai
1923,7074,MIDC ANDHERI EAST,Mumbai
1924,7156,MANGALVEDHA,Mumbai
1925,7158,SONARI SAB,Mumbai
1926,7160,TAKALI DHOKESHWAR,Mumbai
1927,7272,MURUD,Mumbai
1928,7386,HIMAYATNAGAR,Mumbai
1929,7677,DHAMANGAON (GADHI),Mumbai
1930,7776,MUKTAINAGAR,Mumbai
1931,8043,DATTAWADI,Mumbai
1932,8338,ARNI (LONBEHEL),Mumbai
1933,8421,KEDGAON,Mumbai
1934,8895,DUSARBID,Mumbai
1935,9063,BOMBAY ENGG GROUP KHADKI,Mumbai
1936,9383,TUPPA,Mumbai
1937,9992,M.I.D.C.AREA WALUJ,Mumbai
1938,10203,MIDC HINJEWADI,Mumbai
1939,11131,DEOLALI PRAVARA,Mumbai
1940,11135,KAGAL,Mumbai
1941,11136,JAISINGPUR,Mumbai
1942,11143,LAKHNI,Mumbai
1943,11147,SANGRAMPUR,Mumbai
1944,11152,KAIJ,Mumbai
1945,11153,BHADGAON,Mumbai
1946,11154,PIMPALNER,Mumbai
1947,11329,ARTILLERY CENTRE NASIK,Mumbai
1948,11417,MOHADI,Mumbai
1949,11421,CHAMORSHI,Mumbai
1950,11425,DEULGAON MAHI,Mumbai
1951,11432,GHOTI,Mumbai
1952,11433,RADHA NAGARI,Mumbai
1953,11490,VADGAON,Mumbai
1954,11509,PATODA,Mumbai
1955,11515,JILHA PETH JALGAON,Mumbai
1956,11521,PATUR,Mumbai
1957,11647,KOREGAON BHIMA,Mumbai
1958,11648,AMBEGAON,Mumbai
1959,11673,KHARGHAR,Mumbai
1960,11679,SONAI,Mumbai
1961,11695,MIRA BHAYANDAR ROAD,Mumbai
1962,11755,MIRA ROAD EAST,Mumbai
1963,12004,JINTUR ROAD PARBHANI,Mumbai
1964,12013,DEULGAON RAJA,Mumbai
1965,12016,SUNDERKHED BULDANA,Mumbai
1966,12308,DEORI,Mumbai
1967,12309,ARJUNI MORGAON,Mumbai
1968,12485,JULE SOLAPUR,Mumbai
1969,12690,VISHRAM BAG,Mumbai
1970,12691,RANKALA,Mumbai
1971,12711,TREASURY WASHIM,Mumbai
1972,12714,KALAMB,Mumbai
1973,13040,DAHISAR WEST,Mumbai
1974,13548,FULAMBARI,Mumbai
1975,14404,LAKHANDUR,Mumbai
1976,15200,COMPLEX AREA NAVEGAON,Mumbai
1977,17567,BOLINJ NAKA,Mumbai
1978,17688,RANI SATI MARG,Mumbai
1979,20042,PARANDA ROAD BHOOM,Mumbai
1980,20043,OLD TOWN KALAMB,Mumbai
1981,20055,ANUSAYA COMPLEX HADGAON,Mumbai
1982,20057,SHIVAJI CHOWK KINWAT,Mumbai
1983,20260,WADVANA ROAD CHAKUR,Mumbai
1984,20301,Z P ROAD BORI,Mumbai
1985,20421,ADUL,Mumbai
1986,21418,SHIVAJI NAGAR BEED,Mumbai
1987,30456,KOTHRUD,Mumbai
1988,31433,SARDAR VALLABHBHAI PATEL ROAD,Mumbai
1989,51262,VEERA DESAI ROAD,Mumbai
1990,70276,POISAR MTNL,Mumbai
